m,ef_construction,ef_search,recall,latency_ms,build_time_s,memory_bytes,score
26,478,223,0.99995,0.11253214649991605,7.0879018099999485,13330392,0.9998374678535001
40,120,55,0.9987500000000005,0.050507981999999174,1.9684521009999116,15347408,0.9986994920180005
7,440,184,0.9991000000000004,0.08087904049989447,4.918964805000087,10612096,0.9990191209595005
47,59,292,0.9993500000000004,0.1730716444999416,0.9602886890002083,16357728,0.9991769283555004
54,145,62,0.9993500000000002,0.06079867149992424,2.0196479989999716,17362376,0.9992892013285003
15,187,162,0.9999000000000001,0.11770121200015637,2.501643765999688,11749920,0.999782298788
30,181,188,0.99995,0.10203968350015202,2.7515028300003905,13907176,0.9998479603164998
12,181,116,0.9992000000000003,0.06255767650009147,2.2544672439998976,11320808,0.9991374423235002
31,404,68,0.9993500000000002,0.09627608499999951,5.7746270800003,14051040,0.9992537239150002
35,317,23,0.9697000000000068,0.05988800249997439,4.381431842999973,14626176,0.9696401119975068
61,263,245,1.0,0.1449666304999937,3.8770383450000736,18369440,0.9998550333695
60,283,253,1.0,0.18145335150006758,3.7079051209998397,18225592,0.9998185466484999
22,234,216,0.99995,0.10501106500009882,2.849146990999998,12755448,0.999844988935
64,363,285,1.0,0.1829169224999987,5.890081688000009,18798356,0.9998170830775
46,245,118,0.9999000000000001,0.08862364549986523,3.2492611039997428,16213448,0.9998113763545002
41,323,216,1.0,0.12166819950016361,4.470276114000171,15492096,0.9998783318004998
54,336,251,1.0,0.13047928750006577,4.931242782000027,17362376,0.9998695207124999
52,355,259,1.0,0.18950892950010712,5.415523149999899,17074776,0.9998104910704999
42,350,213,1.0,0.15234429950010053,5.049508692000018,15636548,0.9998476557004999
55,401,132,0.9999000000000001,0.10078407699984382,5.936492581000039,17506528,0.9997992159230003
38,323,183,1.0,0.10757366400002866,4.410313838000093,15058932,0.999892426336
36,309,171,0.99995,0.18749529899992012,4.275507831000141,14770236,0.999762504701
47,299,203,1.0,0.1136791454998729,4.095663489999879,16357728,0.9998863208545001
42,294,142,0.99995,0.10149817549995532,4.344694896999954,15636548,0.9998485018245
47,391,193,1.0,0.12621588100000736,5.652142894000008,16357728,0.999873784119
38,214,210,1.0,0.1262196530001347,2.7682615049998276,15058932,0.9998737803469999
21,279,235,0.99995,0.14327939849999893,3.6580614959998456,12611608,0.9998067206015
31,497,155,0.99995,0.10948924699982854,9.379926688000069,14051040,0.9998405107530002
45,324,272,1.0,0.15522694499986756,4.8777752480000345,16069288,0.9998447730550001
26,440,228,0.99995,0.16821806300004027,7.98711098900003,13330392,0.999781781937
50,377,203,1.0,0.15325062950000756,6.138570766000157,16787940,0.9998467493705
49,400,187,1.0,0.14269996799998808,6.395502550999936,16645296,0.999857300032
42,419,197,1.0,0.11100831149997248,6.024286071999995,15636548,0.9998889916885
40,463,178,1.0,0.14319163000004664,7.0581923340000685,15347408,0.9998568083699999
43,301,151,1.0,0.11360704149979028,4.170296146000055,15780752,0.9998863929585002
37,429,101,0.9998500000000001,0.090468739500011,6.676799464999931,14914480,0.9997595312605001
44,90,152,1.0,0.09307933649984079,1.7335977500001718,15925056,0.9999069206635002
33,53,95,0.9996000000000002,0.07310249249985645,0.9746206970003186,14338240,0.9995268975075003
44,83,154,1.0,0.10797340149997581,1.3158844770000542,15925056,0.9998920265985001
28,103,164,0.99995,0.08515232450008625,1.8326945300000261,13618804,0.9998648476754999
44,88,143,1.0,0.10305835400004071,1.5545378320002783,15925056,0.999896941646
39,123,133,0.9999000000000001,0.10856267849999313,1.7901139290001993,15203456,0.9997914373215001
34,85,116,0.9998500000000001,0.0866525174999424,1.5202986290000808,14482556,0.9997633474825002
44,87,173,1.0,0.10463895099996989,1.3900538490001964,15925056,0.999895361049
57,140,145,1.0,0.11738106449979568,2.2568265239997345,17793992,0.9998826189355002
50,83,173,0.99975,0.10747201499998482,1.6670522159997745,16787940,0.9996425279850001
7,162,130,0.9967000000000011,0.048109336499919664,1.8013562559999627,10612096,0.9966518906635012
44,75,82,0.9997,0.07916678200012939,1.3697879239998656,15925056,0.9996208332179999
38,142,163,1.0,0.1038019800002985,2.1855153129999962,15058932,0.9998961980199997
38,115,164,1.0,0.12067091499966409,1.7788588399998844,15058932,0.9998793290850003
33,159,187,0.99995,0.10558328749993962,2.72533180299979,14338376,0.9998444167125
45,101,154,1.0,0.14793968950016279,1.5728433909998785,16069288,0.9998520603104999
49,63,140,0.9999000000000001,0.10400203349990988,1.0267161420006232,16645296,0.9997959979665002
36,133,19,0.9519000000000083,0.0329897839997102,1.9897031030004655,14770236,0.9518670102160086
39,99,125,0.9999000000000001,0.057281822500044655,1.524269423000078,15203456,0.9998427181775
52,198,177,1.0,0.12766209849996812,3.0340552249999746,17074776,0.9998723379015
47,75,35,0.9907000000000028,0.04455186200038952,1.1687888809992728,16357728,0.9906554481380024
40,119,105,0.9999000000000001,0.08616461749988957,1.6562697879999178,15347408,0.9998138353825002
44,50,163,0.9994000000000003,0.08102872650033532,0.9953330349999305,15925056,0.9993189712735
30,156,142,0.9999000000000001,0.12492727600010767,2.1426098760002787,13907176,0.999775072724
