m,ef_construction,ef_search,recall,latency_ms,build_time_s,memory_bytes,experiment
8,200,100,0.9947500000000017,0.06078893300036725,2.9338472129993534,10751460,effect_of_m
16,200,100,0.9996500000000001,0.06405784749995291,2.870159739999508,11892212,effect_of_m
24,200,100,0.9998500000000001,0.08746316950009714,2.4326320840000335,13043996,effect_of_m
32,200,100,0.9998500000000001,0.06641986950035061,2.5561474129999624,14194200,effect_of_m
48,200,100,0.9999000000000001,0.10908540850005011,2.5139989369999967,16501356,effect_of_m
64,200,100,0.9999000000000001,0.08691132000012658,2.9345620060003057,18798356,effect_of_m
16,50,100,0.9967500000000008,0.05808053700002347,0.7510672609996618,11892280,effect_of_ef_construction
16,100,100,0.9995500000000003,0.05715574749956431,1.2985627219995877,11892212,effect_of_ef_construction
16,200,100,0.9996500000000001,0.05911495999998806,2.4425768090004567,11892212,effect_of_ef_construction
16,300,100,0.9997000000000003,0.06447398750015054,3.523461664000024,11892212,effect_of_ef_construction
16,400,100,0.9997000000000003,0.09003156949984259,5.221554979999382,11892212,effect_of_ef_construction
16,500,100,0.9997000000000003,0.10431260750010551,6.698018056999899,11892212,effect_of_ef_construction
16,200,10,0.8008500000000012,0.026400634000310674,2.446821865999482,11892212,effect_of_ef_search
16,200,30,0.9729000000000064,0.030751376500120383,2.309674714000721,11892212,effect_of_ef_search
16,200,50,0.9949000000000016,0.04021131699983016,2.459679794999829,11892212,effect_of_ef_search
16,200,100,0.9996500000000001,0.05569465750022573,2.497431160000815,11892212,effect_of_ef_search
16,200,150,0.9999000000000001,0.0878533619998052,2.4567929479999293,11892212,effect_of_ef_search
16,200,200,0.99995,0.08346353699971587,2.48658145599984,11892212,effect_of_ef_search
16,200,300,1.0,0.17333853550007916,2.5106116710003334,11892212,effect_of_ef_search
